Sample_ID	Substrate	Tree	U_brizantha_weight	Period	Treatment	Dry_mass_production	Height	Root_size	Reference	OM	pH	P	K	Ca	Mg	H	H+Al3	S.B.	C.T.C.	BaseSaturation	S	*B	Cu	Fe	Mn	Zn	K-CEC	Ca-CEC	Mg-CEC	H-CEC	Ca/Mg	Ca/K	Mg/K	TotalCarbon	Sand	Clay	Silt
TP1	ADE	Bulk	NA	T0	Initial_ADE	NA	NA	NA	TP_initial	40.356	5.79	300	1.766666667	127.8833333	11.81666667	23.07684914	23.07684914	141.4666667	164.5435158	85.97523031	7.428571429	0.08391762452	1.5	50.8	1.4	3.8	1.073677476	77.72006858	7.181484247	14.02476969	10.82228491	72.38679245	6.688679245	23.4627907	787.755	127.75	84.495
TP2	ADE	Bulk	NA	T0	Initial_ADE	NA	NA	NA	TP_initial	43.32	5.84	316.6666667	1.766666667	132.2	12.875	24.32139494	24.32139494	146.8416667	171.1630616	85.79051186	9.571428571	0.1988601533	2.28	64.6	2.2	6.6	1.032154163	77.2362908	7.522066899	14.20948814	10.26796117	74.83018868	7.287735849	25.18604651	793.15	137.5	69.35
TP3	ADE	Bulk	NA	T0	Initial_ADE	NA	NA	NA	TP_initial	47.538	5.87	320	1.758333333	129.5	11.5	23.81571872	23.81571872	142.7583333	166.5740521	85.70262389	11	0.2275957854	2.38	65.8	2.6	5.4	1.055586576	77.74320094	6.903836377	14.29737611	11.26086957	73.6492891	6.54028436	27.63837209	778.33	132.25	89.42
TP4	ADE	Bulk	NA	T0	Initial_ADE	NA	NA	NA	TP_initial	43.738	5.833333333	312.2222222	1.763888889	129.8611111	12.06388889	23.7379876	23.7379876	143.6888889	167.4268765	85.82278869	9.333333333	0.1701245211	2.053333333	60.4	2.066666667	5.266666667	1.053806072	77.56652011	7.202462507	14.17721131	10.78370521	73.62209008	6.838899818	25.42906977	786.4116667	132.5	81.08833333
SA1	AS	Bulk	NA	T0	Initial_AS	NA	NA	NA	SA_initial	13.908	5.49	13.83333333	1.541666667	17.10833333	9.583333333	16.14563466	16.14563466	28.23333333	44.37896799	63.61872439	8.714285714	0.2180172414	0.56	8.8	10	0.68	3.473867772	38.55054344	21.59431318	36.38127561	1.785217391	11.0972973	6.216216216	8.086046512	740.43	192.5	67.07
SA2	AS	Bulk	NA	T0	Initial_AS	NA	NA	NA	SA_initial	13.452	5.52	9.5	1.608333333	21.86666667	12.34166667	15.00093621	15.00093621	35.81666667	50.81760288	70.4808268	5.571428571	0.155756705	0.56	10.8	9.4	0.54	3.164913814	43.02970905	24.28620393	29.5191732	1.771775827	13.59585492	7.67357513	7.820930233	748.2	191.5	60.3
SA3	AS	Bulk	NA	T0	Initial_AS	NA	NA	NA	SA_initial	13.452	5.59	9.4	0.625	18.20833333	9.475	13.93739497	13.93739497	28.30833333	42.2457283	67.00874733	5	0.08568200837	0.52	5.8	9.4	0.46	1.47943952	43.10100468	22.42830312	32.99125267	1.921723835	29.13333333	15.16	7.820930233	755.57	192.25	52.18
SA4	AS	Bulk	NA	T0	Initial_AS	NA	NA	NA	SA_initial	13.604	5.533333333	10.91111111	1.258333333	19.06111111	10.46666667	15.02798861	15.02798861	30.78611111	45.81409972	67.03609951	6.428571429	0.1531519849	0.5466666667	8.466666667	9.6	0.56	2.706073702	41.56041906	22.76960674	32.96390049	1.826239018	17.94216185	9.683263782	7.909302326	748.0666667	192.0833333	59.85
E33	ADE	Peltophorum_dubium	6.538	T1	Peltophorum_ADE	3.5725	41.4	16.6	V94	58.254	6.07	435	1.125	161.3666667	13.1	22.12722417	22.12722417	175.5916667	197.7188908	88.80874555	48.42857143	0.3377490421	3.06	48.4	7	9.2	0.5689896374	81.61418769	6.625568222	11.19125445	12.31806616	143.437037	11.64444444	33.86860465	776.31	140.5	83.19
E18	ADE	Peltophorum_dubium	6.538	T1	Peltophorum_ADE	3.57	41.4	16.6	V9	28.5	5.36	211.6666667	0.46	46.375	6.72	30.007952	30.007952	53.555	83.562952	64.08940651	69.28571429	0.1149702264	3.4	41	5.6	4.1	0.5504831854	55.49708201	8.041841317	35.91059349	6.901041667	100.8152174	14.60869565	16.56976744	741.535	226	32.465
